Abarca Vargas, Roberto Antonio sustentante   Clinica de gineco-obstetricia /   [1960?]
Arreguin Manon, Ma. de la Paz sustentante   Cis hidroxilacion de dobles ligaduras de acetatos de enol de cetonas esteroidales /   1960
Arrieta G., Juan sustentante   Estadio de futbol en la Cd. de Mexico /   1960
Arroyo Olea, Fernando sustentante   Ingenieria economica aplicada a edificios de productos en la Ciudad de Mexico /   1960
Arud Nacif, Antonio sustentante   Centro deportivo /   1960
Asiain Díaz, Domingo, sustentante   Industria eléctrica /   1960
Avalos Reyna, José I. sustentante   Sifon en el kilometro 4-885 del canal Sta. Cruz Coyote, del sistema de riego de la region Lagunera, Edos. de Durango y Coahuila /   1960
Avalos Solano, Carlos sustentante   Diseno de la Ciudad de Petacalco, Guerrero /   1960
Avigdar Horowitz, Abraham Bob sustentante   La cariogenesis y su aspecto etiologico /   1960
Ávila de Santiago, Gonzalo sustentante   Geologia de los depositos de antracita de la Sierra de San Javier y Santa Clara, municipio de San Javier, Son. /   1960
Ávila Juarez, Ausencio de sustentante   Diseno y calculo de una compuerta para desarenador de una presa /   1960
Ávila Ramirez, Yolanda sustentante   La reparacion del dano moral /   1960
Ávila Salazar, Ernesto sustentante   Museo de artes e industrias populares /   1960
Aviles M., José Manuel sustentante   Importancia del estudio radiografico en el diagnostico de las fracturas de mandibula /   1960
Aviña Suarez Peredo, Eduardo sustentante   Las vias impugnativas con el Codigo de procedimientos civiles para el Distrito Federal y Territorios /   1960
Axtle Felipe, Aurora sustentante   La industria de fibras artificiales en Mexico /   1960
Azuela Güitrón, Mariano sustentante   Los grandes temas del Derecho y del Estado a la luz de la doctrina pontificia contemporanea /   1960
Baca Alva, Oscar Rolando sustentante   Realizacion de obras de distribucion de agua potable y alcantarillado /   1960
Banda Benuto, Enrique sustentante   Las obras y servicios municipales en la Republica Mexicana /   1960
Banduni Strawell, Jorge sustentante   Diseno de una planta de oxidacion de licores gastados en el proceso de obtencion de pulpa al sulfato /   1960
Barbosa García, Guillermo sustentante   Endodoncia /   1960
Barocio García, David A. sustentante   El juicio arbitral en materia civil /   1960
Baron Mejia, Roberto sustentante   Balance de materia energia y calculo de las caidas de presion en una planta de acido sulfurico /   1960
Barona Chambon, Octavio Augusto sustentante   Las empresas de transporte aereo y su regulacion juridica /   1960
Barranco Tellez, Miguel sustentante   La participacion /   1960
Barreda Mendez, Eugenio sustentante   Centro de Estudios Superiores en el Distrito Federal /   1960
Barrientos, Carlos sustentante   El tratado bryan-chamorro y el golfo de Fonseca /   1960
Barrios Ramos, Antonio sustentante   Los recursos en el juicio de amparo /   1960
Barron Flores, Ines sustentante   Anomalias culitativas de plaquetas en trombastenia y estudio hematologico comparativo con pseudohemofilia /   1960
Barroso Ciutti, Raul sustentante   Trabajo economico zootecnico en bovinos de leche en el municipio de Salamanca, Guanajuato /   1960
Bass Rostenberg, Bertha sustentante   Modalidades del ciclo economico en la posteguerra /   1960
Bátiz, Bernardo sustentante   La libertad y el derecho /   1960
Bautista García, Francisco Javier sustentante   Influencia de algunas formas de secado en la reactividad de una alfa celulosa comercial /   1960
Becerra Caletti, Rodolfo sustentante   Breve estudio del contrato administrativo de suministro /   1960
Becerril Buitron, José Paz sustentante   El Contador Publico como tecnico en materia fiscal /   1960
Bejar Gonzalez, Nisso sustentante   Habitacion popular en la Ciudad de Campeche, Campeche /   1960
Bello Barradas, Alejandro sustentante   Geología de los yacimientos de antracita de San Marcial municipio de San Marcial, Son. /   1960
Bello Bobadilla, J. Antonio sustentante   Las juntas de conciliacion y arbitraje y su naturaleza juridica /   1960
Bello Ortega, Alejandro sustentante   Analisis colorimetrico de aceros aleados /   1960
Bellot Castro, Ma. Teresa sustentante   Dosificacion de potasio en enfermos cardiacos congenitos /   1960
Beltran Flores Castellanos, Luis sustentante   Terapia pulpar /   1960
Benitez Jimenez, José Manuel sustentante   Los derechos y las obligaciones de los usuarios del servicio publico /   1960
Benitez Padilla, Jorge sustentante   El concepto de obligacion : teoria de la deuda y la responsabilidad /   1960
Benrey Barouh, Jaime sustentante   Procedimientos de construccion del muelle de cabotaje de Progreso, Yuc. /   1960
Benrey Barouh, Jaime sustentante   Procedimientos de construccion del muelle de cabotaje de Progreso, Yuc. /   1960
Berdejo Alvarado, Enrique sustentante   Niveles de vida de la poblacion del Distrito Federal /   1960
Bermudez Limon, Carlos sustentante   Las obras publicas y el desarrollo economico de Mexico /   1960
Bessudo Madjar, José sustentante   Los materiales de produccion presupuestados y su control /   1960
Betancourt Mascarenas, Alfonso sustentante   Comportamiento de la arena retama por declinacion de la produccion en el Campo Reynosa, Tamps. /   1960
Beyer Flores, Carlos sustentante   Intervencion del sistema nervioso central en la regulacion de la glicemia /   1960
Bialostosky Ainbinder, Saul sustentante   Diseño de una estructura de concreto armado de 10 pisos /   1960
Bilbao Bastida, Ma. del Carmen sustentante   Problemas que se presentan en el diseño de un reactor continuo experimental para la hidrolisis de parenquima contenido en el bagazo de cana de azucar /   1960
Bladinieres Jiménez, Jaime asesor   Comentarios sobre el Contador Publico y la Administracion Nacional /   1960
Blanco Lazo, Salvador sustentante   La percepcion de frutos y el reembolso de gastos en la posesion de buena fe /   1960
Blasi Azcarraga, Rolando sustentante   Proyecto del muelle de altura del puerto de Topolobampo, Sin. /   1960
Blatt Komarovsky, Bernardo sustentante   Tratamiento quirurgico de la osteomielitis en la mandibula /   1960
Bledt Miklousi, Carlos sustentante   Estudio experimental de un secador por aspersion /   1960
Bonifaz Ocampo, Blanca sustentante   El trabajo social en el Centro de Salud Dr. Atanasio Garza Rios /   1960
Bonilla de la Fuente, Amilcar Gaston sustentante   Breve estudio sobre el arrendamiento : su origen, su naturaleza y su finalidad /   1960
Bopp Oeste, Hans Peter Markus sustentante   Estudio de las condiciones de operacion de un enfriador de hule mezclado y modificaciones efectuadas para mejorarlas /   1960
Bopp Oeste, Hans Peter Markus sustentante   Estudio de las condiciones de operacion de un enfriador de hule mezclado y modificaciones efectuadas para mejorarlas /   1960
Borges Massa, Guadalupe sustentante   Contribucion al conocimiento quimico de los brandies de uva de Ramos de Arizpe, Coahuila /   1960
Bosch García, Carlos, 1919-1994 sustentante   Historia de las Relaciones entre Mexixo 1819-1848 /   1960
Botella C., Ovidio sustentante   Analisis elastico de un edificio destinado a hospital /   1960
Bravo Cacho, Renato R. sustentante   Estudio del dimensionamiento de las areas de agua y profundidades a dar en los puertos /   1960
Bravo del Villar, Alfonso sustentante   Contraloria siete consideraciones y una definicion /   1960
Briones Martinez, Adolfo sustentante   Proyecto de una superestructura para puente carretero de concreto precomprimido /   1960
Brito Moreno, Manuel sustentante   El valor economico de la vida humana en el Derecho administrativo mexicano : con referencias a otras ramas del Derecho /   1960
Buelna Sarria, Pablo, sustentante   Generalidades sobre auditoría /   1960
Buendia Negri, José Esteban sustentante   El regimen de la policia economica y la administración publica /   1960
Buenfil Montalvo, Edilberto sustentante   Proyecto de un puente definitivo de camino para cruzar El Rio Boca de Ovejas km. 53+150 camino Villa-Cardel, Nautla, tramo Palma-Sola, Nautla con origen en Nautla, Veracruz /   1960
Bueno Horna, Salvador sustentante   Anteproyecto de una planta de extraccion de diosgenina a partir de raiz de barbasco /   1960
Buentello Malo, Patricia sustentante   El factor politico social en la interpretacion del Derecho /   1960
Burgoa Silva, Federico sustentante   Infeccion focal y la endocarditis bacteriana sub-aguda /   1960
Burgos Peralta, Rogelio sustentante   Influencia de la reforma agraria en el estado de Sinaloa /   1960
Burruel Gonzalez, Leopoldo sustentante   El control interno contable en la Auditoria de estados financieros /   1960
Bustamante Buenrostro, Ángel, sustentante   Depositos elevados en abastecimientos de agua potable /   1960
Bustamante Tenorio, Francisco sustentante   Un tema de responsabilidad civil extracontractual responsabilidad civil derivada del riesgo creado /   1960
Butrón Silva, Jesús Arturo sustentante   Reformado del metano /   1960
Caballero Deloya, Jorge sustentante   Estudio monografico de algunos nematodos parasitos de vertebrados de Mexico /   1960
Caballero Rodriguez, Guillermina sustentante   Estudio de trematodos digeneos de algunas tortugas comestibles de Mexico /   1960
Cabrera López, Alberto sustentante   Consideraciones necesarias para la construccion y diseño de tuneles modernos /   1960
Cabrera Martinez, Jesus sustentante   Proposiciones a los planos reguladores Saltillo y Monclova, penitenciaria en Saltillo /   1960
Cabrera Muñoz Ledo, Luis sustentante   Tecnica de la perforacion marina y su aplicacion en la estructura de Santa Ana Tabasco /   1960
Cabrera Perez Salazar, Francisco sustentante   Las libertades del espiritu : estudio conmemorativo de la Constitucion de 1857 /   1960
Cadenas Cristia, José Luis sustentante   Estudio de intercambiadores de calor que se emplean en la industria "Petroleos Mexicanos" /   1960
Calderon Alcalde, Manuel Alfonso sustentante   Sugestiones para mejorar la inspeccion sanitaria en el rastro de Culiacan /   1960
Calderon de la Mora, Martha sustentante   Centro de adiestramiento de operadores. Maquinaria pesada automotriz y disel /   1960
Calderon Guzman, German sustentante   Introduccion al análisis sismico de estructuras por medio de modelos similares /   1960
Calleros Hernandez, Roberto sustentante   Evolucion juridica de la adopcion /   1960
Calvo Abascal, Octavio sustentante   El patrimonio familiar /   1960
Camargo Marquina, Felipe sustentante   Obtencion de acido benzoico a partir del anhidrido ftalico /   1960
Camargo, Pedro Pablo sustentante   La proteccion juridica de los derechos humanos y de la democracia en America /   1960
Camelo y Verduzco, Roque A. sustentante   El decomiso /   1960
Campos Alor, Edith sustentante   Contribucion al estudio de la produccion de fenacetina en Mexico /   1960
Campos Calvo, Elida Aydee sustentante   Elementos procesales en el juicio de amparo /   1960
