Abarca Vargas, Roberto Antonio sustentante   Clinica de gineco-obstetricia /   [1960?]
Espejo Posadas, Manuel sustentante   Determinacion volumetrica de oro con la sal disodica del acido etilen diamino tetra acetico y su estudio comparativo con otros metodos /   1960
Espinola Barrera, Cristobal sustentante   Diseno de una estructura de cimentacion sujeta a una reaccion uniforme del terreno /   1960
Espinosa Arias, Carlos Gustavo sustentante   Normas generales para el diseño de gruas y aplicacion de ellas a un caso especifico /   1960
Espinosa Esteinou, Antonio sustentante   Puente sobre el arroyo Arteaga /   1960
Espinosa Pablos, Marcos Antonio sustentante   La capacidad juridica del ejidatario /   1960
Esqueda Castro, A. L. sustentante   La empresa en el Derecho laboral mexicano /   1960
Esquinca Muñoz, Cesar sustentante   La acción penal y el desistimiento /   1960
Esquivel y Solis, Luis Fernando sustentante   La prueba en el Derecho sovietico en comparacion con la prueba en el Derecho mexicano /   1960
Esteva, José Antonio sustentante   Diseno electrico de lineas de transmision largas mediante computador digital /   1960
Estivill Riera, Vladimir, asesor   Recuperacin de agua en una planta de glicerina /   1960
Estrada Meza, Eva Eugenia sustentante   Estudio de la fraccion triterpenica de la flourensia resinosa /   1960
Estrella Vaca, Olivia sustentante   Valoracion de los cambios que en las proteinas sanguineas de recien nacidos normales causa el ciclopentilato de testosterona /   1960
Farias de los Santos, Virgilio sustentante   Informe del servicio social practicado en Piedras Negras, Coahuila y razas bovinas lecheras existentes y su mejoramiento /   1960
Farías Lozano, Miguel, sustentante   Proyecto de aprovisionamiento de agua potable a Compostela, Nayarit /   1960
Feijoo Andrade, Maxima Elvira sustentante   Estudio anatomico comparativo de las glandulas suprarrenales en algunas aves de Mexico /   1960
Fenton Malanco, Victor Manuel sustentante   Proyecto de puente sobre el Rio Lerma en Salvatierra, Guanajuato /   1960
Fernandez Cuevas, Luis Ramon sustentante   Organizacion, funcionamiento y auditoria de cobranzas en una institucion de deposito /   1960
Fernandez Flores, Humberto sustentante   El sector agricola, la inversion y la demanda externa, como factores dinamicos que influyen en el nivel de la actividad economica de Mexico /   1960
Fernandez Perez, Ventura sustentante   La evolucion de la teoria de la causa /   1960
Fernandez Ramirez, Daniel sustentante   Analisis y diseño de un edificio de seis pisos de concreto reforzado /   1960
Fernandez y Fernandez, Aurora sustentante   Juventud ciudadana (Diversos aspectos del problema juvenil en Mexico) /   1960
Figueroa Rodriguez, Ricardo sustentante   Estudio de las variables basicas, efectuado en fermentadores intermitentes para el calculo de equipo de fermentacion continua de levaduras /   1960
Flisser Steinbrueh, Manuel sustentante   Analisis sismico de marcos de edificio /   1960
Flores Cárdenas, Francisco, sustentante   Consideraciones sobre retiros y reemplazos y depreciación en empresas de suministro de energía eléctrica /   1960
Flores D'Oleire, Tomas sustentante   Servicios medicos asistenciales en el Estado de Mexico /   1960
Flores Gonzalez, Martha sustentante   Estudio de algunas aplicaciones del cobalto y su determinacion analitica como nitrato de yodo pentaminocobalto (III) /   1960
Flores Peralta, Pedro sustentante   Las servidumbres en el derecho de la aviacion /   1960
Flores Reyes, Marcial sustentante   Vis absoluta : aspecto negativo de la conducta /   1960
Flores Rico, Javier Z. sustentante   Diferentes formas de gingivitis y estomatitis y su tratamiento /   1960
Flores Sanchez, Silvestre sustentante   El juicio ejecutivo civil /   1960
Flores Soto, Irma sustentante   Estudio de la saponina de xixi /   1960
Flores Valenzuela, Raul sustentante   Arquitectura penal en el Estado de Durango /   1960
Foncerrada Moreno, Juan sustentante   La productividad de la mano de obra en la industria de transformacion /   1960
Fonseca Velarde, Gudelia sustentante   Incidencia general de parasitosis intestinales en la zona del aeropuerto /   1960
Forgach Mogyoros, Raul sustentante   Estudio del control de produccion en una fabrica de articulos electricos /   1960
Fresán Herrera, Leonor sustentante   Contribución a la química de la criptogenina : Preparación y propiedades de 16 [alfa] etinil diosgenina /   1960
Freyria Salinas, Guillermo sustentante   Proyecto del sistema de acondicionamiento de aire para un hospital en B.C. /   1960
Fuentes Arroyo, Guy de sustentante   Calculo de depositos elevados de almacenamiento /   1960
Fuentes Mora, Delia sustentante   Propiedades de los materiales de Obturacion : indicaciones y contraindicaciones /   1960
Fuentes Pardo, Beatriz sustentante   Algunos factores fisicos y quimicos que afectan la evaginacion de cysticercus ceblutosae /   1960
Fullaondo Fernandez, Francisco José Maria sustentante   Principales aspectos en la auditoria de empresas hoteleras /   1960
Funjul Peña, Maria Luisa sustentante   Estudio histoquimico e histologico del tallo del ramio (Boehmeria nivea Var Tenacissima Wiestier) /   1960
Fuse Moteki, Rosa sustentante   Determinacion de cromatografica de lisina, histidina y arginina en hidrolizados de proteinas de garbanzo, ajonjoli y cabeza de camaron /   1960
Gaitan Rojo, Luis Humberto sustentante   La tendencia al estancamiento y la integracion economica multinacional /   1960
Galindo Pereyra, Yolanda M. sustentante   Las importaciones del sector publico en Mexico, 1955-1959 /   1960
Gallardo Fernandez, Hector sustentante   El activo fijo en las empresas electricas /   1960
Gallegos Bravo, Humberto sustentante   Diferentes registros empleados en pozos exploratorios del distrito sur de Tampico /   1960
Gallegos González, Felipe de Jesús sustentante   La cancelacion de los titulos de credito : algunos aspectos juridicos /   1960
Galvan Ibarra, Raymundo sustentante   Emision de obligaciones /   1960
Galvan Machain, Maria de Jesus sustentante   La ayuda que presta al cirujano dentista la historia clinica /   1960
Galvan Rivera, Ma. Teresa sustentante   Una nueva reaccion de la cadena lateral de las sapogeninas /   1960
Galvez Calderon, Casimiro sustentante   Quistes en los tejidos duros de la cavidad bucal /   1960
Gamaggio Huelstrunk, Carlo sustentante   Diseno de los elementos de un motor diesel /   1960
Gamboa Martinez, Rafael sustentante   Proyecto de un puente de concreto reforzado sobre el Rio Fuerte, en el camino Mexico-Nogales /   1960
Gamez Truyol, Rodrigo sustentante   Secado y molienda de caolin /   1960
Garay Auza, Manuel sustentante   La prueba presuncional en materia penal /   1960
García Aguilar, José Luis sustentante   Eliminacion de sal de un sistema de concentracion de sosa caustica electrolitica /   1960
García Barragan M., Manuel sustentante   El juez en el proceso civil comun /   1960
García Bartning, Enrique sustentante   Condiciones optimas de proceso en una planta multiple de ftalatos de dialkilo /   1960
García Baturoni, Ruben Antonio sustentante   Produccion de latones rojos en hornos de induccion de baja frecuencia /   1960
García Betancourt, Pascual sustentante   Organizacion de los desayunos escolares en Mexico /   1960
García Burgos, Pedro F. sustentante   La garantia de audiencia en materia impositiva /   1960
García Cordova, Edna sustentante   El contrato administrativo de locacion /   1960
García Corral, Julio sustentante   Informe del servicio social en la planta avicola piloto de Leon, Gto., relacionado con la profilaxis en las enfermedades Newcastle y viruela difterina en gallinaceas /   1960
García de Alba Baca, Mario A. sustentante   Estudio sobre la produccion de barras, perfiles y alambres de cobre a partir del proceso de extrusion /   1960
García de Quevedo Cortina, Juan Manuel sustentante   La eficacia de las escrituras publicas extranjeras en Mexico /   1960
García Formentí G., Enrique sustentante   Servicios asistenciales para peregrinos en el Santuario de Nuestra Senora de Los Remedios. Parque Nacional de Los Remedios. Estado de Mexico /   1960
García Godoy, José Guadalupe sustentante   Un sistema de costos para la industria de la bicicleta en México /   1960
García Guillen, Ruth Veronica sustentante   Estudio del metodo gravimetrico modificado para valoracion de tiamina /   1960
García Hermida, Yolanda sustentante   Diversos aspcttos sobre odontologia infantil /   1960
García Herrera, Rolando sustentante   Estudio de una columna de desorcion de hidrogeno /   1960
García Irigoyen, Hector sustentante   El delito de peculado : estudio dogmatico /   1960
García Lazo, Joaquin sustentante   Proposiciones a los planos reguladores Saltillo y Monclova, estacion de autobuses en Saltillo /   1960
García Reyes, Enrique sustentante   Puente sobre el Rio Atoyac en Oaxaca /   1960
García Rodriguez, Fernando sustentante   Determinacion del costo de produccin en la industria del hierro maleable /   1960
García Rosado, Rodolfo sustentante   Proteccion electrica de un sistema radial de 50 mva /   1960
García Sainz, Pablo sustentante   Algunos problemas relacionados con la aplicacion de las leyes fiscales en el tiempo /   1960
García Sarmiento, Jorge Enrique sustentante   Divorcio administrativo /   1960
García Stahl, Julio sustentante   Estudio sobre un sistema de purificacion de electrolito en una planta refinadora de cobre /   1960
García Vazquez, Rosa Maria sustentante   Estudio de las variaciones de la fraccion prostatica de la fosfatasa acida serica en enfermos con cancer de la prostata /   1960
García Velazquez, Ma. del Refugio sustentante   Validez espacial de la pena de ley /   1960
Garduño Velarde, Eduardo sustentante   Algunos procedimientos supletorios de auditoria y su repercusion en el informe /   1960
Garma Lopetegui, J. Manuel de la sustentante   Proyecto de una planta para producir 300 toneladas mensuales de ayuda filtro /   1960
Garza Gonzalez, Romeo sustentante   Yacimientos de berilio en la Sierra de Oposura, municipio de Moctezuma, estado de Sonora /   1960
Garza Ramos Madrid, Guillermo sustentante   Oxidacion electrolitica del aluminio en forma continua /   1960
Garza Vazquez, Hector Virgilio sustentante   Explotacion de los recursos forestales y el Derecho agrario /   1960
Gaston Guadarrama, Ruben sustentante   Breve estudio administrativo y contable de las instituciones de fianzas /   1960
Gayon Coria, Elsa sustentante   Estudio anatomico comparativo del aparato excretor de diversos anfibios de Mexico /   1960
Gil Arenas, Luis Arturo sustentante   Servicios públicos federales en Tijuana, B.C. /   1960
Gil Maya, Noemi sustentante   Determinacion de cloruros en algunos cardiopatias /   1960
Giral, José sustentante   Estudio quimico e industrial de la cadena lateral de las sapogeninas esteroides /   1960
Givaudan Castellanos, Victor Hugo sustentante   Contribucion al estudio del proceso amylo y sus aplicaciones en la Destileria Bodegas Llacos de Parras, Coahuila /   1960
Gleason Peart, Jorge sustentante   La industria petrolera en la Republica Mexicana /   1960
Gluzgold Dansin, Andrés sustentante   Procesos de curtido al formaldehido /   1960
Goehringer Mueller, Ricardo sustentante   Consideraciones generales sobre la ampliacion de la planta de fuerza de un ingenio /   1960
Goel Rosales, Manuel sustentante   Ajuste de los molinos e imbibicion de un ingenio azucarero /   1960
Gomez Barreto, Erendira sustentante   Preparacion y control del hidroxido de aluminio medicinal /   1960
Gomez Barreto, José X. sustentante   Diseno de curvas y transiciones en canales con regimen rapido /   1960
Gomez Bombat, J. Omar sustentante   Reinsercion-gingival : tecnica del Dr. Max Shapiro /   1960
Gomez Cardoso, Marco Antonio sustentante   Capillas ardientes populares en el D.F. /   1960
Gomez Cottier, Rafael sustentante   Protesis fijas /   1960
Gomez del Castillo, Alberto sustentante   Contribucion al estudio medico, higienico y zootecnico para el fomento de la ganaderia del estado de San Luis Potosi /   1960
Gomez Espinosa, José Abel sustentante   Aspecto contable de las devaluaciones monetarias /   1960
Gomez Gangas, José Antonio sustentante   El caso Mexicol-Espana /   1960
Gomez Mejia, Abel sustentante   Balance de los riesgos monetarios /   1960
Gomez Mendoza, Hilda sustentante   Estudio de la acción sulfatasica del jugo gastrico de Helix pomatia (caracol) en la hidrolisis esteroidea /   1960
Gomez Noricumbo, Lenin sustentante   Enfermedades de la pulpa dentaria : tratamiento /   1960
Gomez Ponce, Ramiro sustentante   Causas, justificacion y resultados de la revolucion de 1910 /   1960
Gómez Ruiz, M. sustentante   Los costos en la industria del ron a base de piloncillo /   1960
Gomez Saldaña, Jorge Roberto sustentante   La organizacion del ejido en sus formas individual y colectiva /   1960
Gomez Sañudo, Ramon sustentante   Generalidades de una agencia aduanal (aspectos contables y legales) /   1960
Gomez Tagle Orbe, Celia sustentante   Estudio preliminar sobre la hidrolisis de los hidratos de carbono contenidos en el parenquima de bagazo de cana de azucar /   1960
Gomez Ugalde, Juarez sustentante   Estudio de la materia colorante de Bixa orellana /   1960
Gonzalez Acevedo, José Manuel sustentante   El financiamiento en la empresa pequena /   1960
Gonzalez Aguayo, Hector D. sustentante   Neomelubrina : su estudio farmaceutico /   1960
Gonzalez Bravo, José Juan sustentante   El control gubernamental y la industria mexicana /   1960
Gonzalez Castillo, Ignacio O. sustentante   Proyecto de un sistema de distribución eléctrica para las instalaciones de fuerza y alumbrado en una planta de acabado textil /   1960
Gonzalez de la Torre, Hector sustentante   Patologia pulpar /   1960
Gonzalez García Moreno, Dario sustentante   Empresas descentralizadas dedicadas a la construccion /   1960
Gonzalez Gonzalez, José Oscar sustentante   La Prueba plena e indubitable en el incidente de libertad por desvanecimiento de datos /   1960
Gonzalez Juaristi, Manuel sustentante   Algunos aspectos sobre odontologia infantil /   1960
Gonzalez Marquez, Joaquin sustentante   Autopista Mexico-Puebla /   1960
Gonzalez Martin, Hugo Javier sustentante   Formas de atacar la simulacion de los latifundios y estudio de la distribucion de la tierra en Mexico /   1960
Gonzalez Martinez, Atanacio C. sustentante   Acciones de sociedades anonimas : las acciones de goce /   1960
Gonzalez Medrano, Pedro sustentante   Planificacion y administración publica /   1960
Gonzalez Morphy, Manuel sustentante   Proyecto mecanico de una compuerta radial y su operacion electrica automatica para la Presa de La Boca, Nuevo Leon /   1960
Gonzalez Navarro, Ma. Cristina sustentante   Aplicacion de la cromatografia al estudio del valor biologico de las proteinas /   1960
Gonzalez Orduña, Anselmo sustentante   El contrato de arrendamiento en materia agraria /   1960
Gonzalez Reyes, Jesus sustentante   Urbanizacion de las Lomas de Guadalupe Alvaro Obregon, D.F. /   1960
Gonzalez Torres, Raul X. sustentante   El Derecho agrario y la seguridad social /   1960
Gonzalez Zuñiga, Luis Hector sustentante   Control regulacion del Rio Hondo : anteproyecto de la presa de los Cuarlos /   1960
Grajales Arrazate, Mario sustentante   Concesiones y permisos en servicios radioelectricos /   1960
Grajales Ruiz, Ciceron sustentante   Las partes en el juicio de amparo /   1960
Granados Ordonez, Alicia sustentante   Estudio electro-micrografico de la superficie esporular de cepas de Streptomyces /   1960
Grau Gebelli, Ángel de sustentante   Diseño de una planta para la obtención de ácido dodecil bencen sulfónico /   1960
Grezemkovsky Wulfovich, Rebeca sustentante   Cis hidratacion de dobles liguduras esteroidales /   1960
Guerrero Meneses, Francisco sustentante   Organizacion administrativa y contable de las empresas explotadoras de bosques /   1960
Guerrero Reyes, Jorge Armando sustentante   Anteproyecto y diseño de una planta que abastezca el mercado nacional de cloruro de aluminio /   1960
Guerrero Reynoso, Euquerio sustentante   Estudio sobre diversos aspectos del análisis y disenos de silos /   1960
Guerrero Reynoso, Euquerio sustentante   Estudio sobre diversos aspectos del análisis y disenos de silos /   1960
Guevara Alcina, Arturo sustentante   Mejoras en el concreto por medio del empleo de aditivos /   1960
Guevara Lira, Marta sustentante   El problema del estacionamiento en la Ciudad de Mexico, zona centro /   1960
Guillen Melgar, Oscar A. sustentante   Tecnica de la odontoseccion en exodoncia : indicaciones /   1960
Guizar Díaz, Alfonso sustentante   Organizacion contable de las industrias de mosaico tipo veneciano /   1960
Gutierrez Fojaco, José sustentante   Secado de resinas de cloruro de polivinilo /   1960
Gutierrez Principe, Luis sustentante   Construccion de concreto reforzado para apartamientos /   1960
Gutierrez Ruiz, Guillermo sustentante   Evolucion y tratamiento de los procesos supurativos de origen dentario /   1960
Gutierrez Tinajero, Argelia sustentante   Algunas experiencas con suspenciones de latex de poliestireno de diversos diametros utilizados como portadores antigenicos /   1960
Gutierrez Trejo, Orlando sustentante   Proyecto definitivo de un puente para camino carretero, de doble linea de circulacion, para carga tipo H-20 para salvar una corriente de agua /   1960
Guzman Aguirre, Alejandro sustentante   La fotogeologia aplicada a la exploracion minera y estudios fotogeologicos de : Barra de Navidad-Autlan, estado de Jalisco e Hidalgotitlan-Laguna de Manati, estado de Veracruz /   1960
Guzmán Arellano, Luz Margarita sustentante   Síntesis de benzofuranos substituidos como intermediarios en la preparación de furoflavonas /   1960
Guzman Ballesteros, José Antonio sustentante   Proyecto de una planta de tratamiento de aguas para la ciudad de Mexicali /   1960
Guzman Bracho, Ricardo sustentante   Proposicion del cambio de capital de la Republica Mexicana /   1960
Guzman Bueno, Joaquin sustentante   La exodoncia, accidentes y sus tratamientos /   1960
Guzman García, Luis sustentante   Diseno del equipo de una planta de recuperacion de fenol a partir de la fraccion naftalenica del alquitran de hulla /   1960
Guzman García, Miguel sustentante   Estudio practico y comparativo para la desparafinacion de aceites /   1960
Guzman Hernandez, Hector sustentante   Calculo y diseño de una planta para producir fenacetina /   1960
Guzman Lazo, Francisco sustentante   Organizacion de la industria electrica de servicio publico /   1960
Guzman Rodriguez, Ana Maria sustentante   La proteccion de los bosques en el Derecho administrativo mexicano /   1960
Guzman Rojas, Guillermo sustentante   Cimentaciones especiales para tanques de almacenamiento de tipo industrial /   1960
Guzman Romero, Graciela sustentante   Aislamiento y sensibilidad a los antibioticos de microorganismos entericos patogenos en gallinas /   1960
Guzman Sañudo, Alejandro sustentante   Puente sobre el Rio Altar /   1960
Guzman Silva, Octavio sustentante   Central telefonica automatica con selectores de coordenadas tipo ARF 102 /   1960
Hale Penansky, Eduardo sustentante   El delito de despojo : estudio dogmatico /   1960
Hara Ortiz, Teresa sustentante   Manifestaciones anormales en la boca durante el embarazo /   1960
Hermoso Najera, Alfonso sustentante   La administración de la herencia /   1960
Hernandez Ahumada, Rutilia sustentante   El contrato colectivo de trabajo en la clase campesina y el Derecho agrario /   1960
Hernandez Albineda, Valerio sustentante   Reduccion catalitica de los gliceridos de la estearina /   1960
Hernandez Ávila, Emilio sustentante   Estudio teorico practico de la fabricacion de acero por el proceso basico /   1960
Hernandez Barroquin, J. Jesus sustentante   La determinacion de la pension alimenticia /   1960
Hernandez Caraza, Alejandro sustentante   Estudio de la instalacion y del funcionamiento de la misma, para la generacion de vapor en la planta industrial X /   1960
Hernandez de Diego, Dora Beatriz sustentante   Desarrollo de un programa de calificacion de eficiencia como una opinion de supervisores en una instiutcion bancaria /   1960
Hernandez Guerra, Lilia sustentante   La anestesia general aplicada a la exodoncia /   1960
Hernandez Orantes, Meliton sustentante   La organización jurídico-administrativa del transporte aereo /   1960
Hernandez Perez, Horacio sustentante   Estaciones de ferrocarril en la ruta Mexico-Acapulco /   1960
Hernandez Sategna, Jorge sustentante   La constitucionalizacion del Derecho del trabajo /   1960
Hernandez Treviño, Pablo sustentante   Estructura de acero para un edificio de diez plantas en la Ciudad de Mexico /   1960
Herreman Cornu, Alberto sustentante   Proyecto de instalacion electrica de una planta para la elaboracion de hilo de lana y fibras artificiales /   1960
Herrera Maldonado, Arturo sustentante   Tecnica de anestesia para el bloqueo del nervio maxilar superior e inferior en exodoncia /   1960
Herrera Martinez, Juan sustentante   Diseno electromecanico de una planta para la obtencion de CO2 en el D.F. /   1960
Herrera Rodriguez, Francisco sustentante   La garantia de audiencia /   1960
Herrera Suarez del Real, Pedro A. sustentante   Proyecccion de la reforma agraria en el Distrito de riego No. 5 de ciudad Delicias, Chih. /   1960
Hidalgo Mendoza, Marco Antonio sustentante   Ensayo del neguvon en el tratamiento de la ancilostomiasis canina por via parenteral /   1960
Hidalgo y Gallardo, Humberto sustentante   Invalidez del acto juridico /   1960
Higuera Gil, Sergio sustentante   Proyecto del sistema de alcantarillado de los Reyes de Salgado, Mich. /   1960
Hijar Cid, Reynaldo sustentante   Control de calidad del concreto reforzado para usos estructurales /   1960
Huerta Calderon, Antonio sustentante   Centro de habitacion del I.M.S.S. en el D.F. /   1960
Humphrey Lazcano, Lilian sustentante   Organizacion de la auditoria interna en empresas de tipo medio /   1960
Hurtado Gonzalez, Moises sustentante   La responsabilidad por danos a construcciones vecinas /   1960
Ibarra Calderon, Manuel sustentante   Algunas aplicaciones industriales del intercambio ionico /   1960
Ibarra Herrera, Manuel sustentante   Los esponsables /   1960
Ibarra Pastrana, Ignacio sustentante   Sistema contable en laboratorios de material quirurgico a base de presupuestos y costos estandar /   1960
Icaza Gomez, Alberto de sustentante   Consideraciones sobre la organizacion e implantacion de un sistema de contabilidad en una industria dedicada a la explotacion del cloruro de sodio /   1960
Izandegui Rullan, Carlos A. sustentante   Conjunto Universidad Juarez de Tabasco /   1960
Jaen Lorenzale, Angel sustentante   Diseno y construccion de una bateria de silos de cebada para treintamil toneladas /   1960
Jakob Atamoros, Wolfgang sustentante   Estudio de los procedimientos comunes para la construccion de estructuras en general y su aplicacion en la construccion de la terminal ferroviaria del Valle de Mexico /   1960
Jimenez de la Fuente, Jacinto sustentante   Base naval Icacos Acapulco, Gro. /   1960
Jimenez Espriu, Javier sustentante   Acondicionamiento de aire para una fabrica de hilados y tejidos de algodon en el Distrito Federal /   1960
Jimenez Galindo, Eduardo sustentante   Residencia presidencial /   1960
Jordan Monroy, Rosendo sustentante   Empleo de la asociacion oxitetraciclina hidrocortisona en la gingivitis /   1960
Juarez Sanchez, Roberto sustentante   Aspectos fiscales del Seguro Social /   1960
Jusidman Gorin, Daniel sustentante   La forja con estampa de piezas de acero /   1960
Katsuda Karasawa, Federico sustentante   Histopatologia pulpar /   1960
Kauffmann de la Madrid, Raquel sustentante   Resinas alquidisoftalicas modificadas con vinil tolueno /   1960
Klingema, German sustentante   Instrumentacion automatica del sistema de acondicionamiento y secado de fibras textiles /   1960
Krasowsky Morales, Jaime sustentante   Calculo de la estructura correspondiente a la subestacion de San Jeronimo en Monterrey, N.L. y diseño de la misma en acero de alta resistencia /   1960
Kuri Abdala, Ramon sustentante   Estudio de una red telefonica para San Martin Cuautlalpan /   1960
Kviat Nudel, Humberto sustentante   La industria de la curtiduria : sistema de costos y aspecto fiscal /   1960
Laborie Scherling, Alfredo sustentante   La terminacion del contrato de arrendamiento de fincas urbanas /   1960
Ladron de Guevara Herrera, Gloria sustentante   Oclusion traumatica /   1960
Lafuente Orimaldi, Armando sustentante   Eficiencia termica del termociclon y del horno rotatorio : estudio comparativo preliminar en la produccion de clinker de cemento /   1960
Lagos Ollivier, Licio sustentante   Sociedades unimebres /   1960
Lammel Sohn, Erika sustentante   Determinacion de tipo sanguineo en manchas de sangre sobre diversas superficies, edades de las mismas, siguiendo los metodos indicados en las obras especializadas de la materia como contribucion a la criminologia /   1960
Landero Carmona, Demostenes sustentante   Inyeccion de agua al Campo San Andres /   1960
Landeros Valdes, Ma. Azucena sustentante   Metodos para la determinacion de la finura de la lana y su aplicacion en ovinos Hampshire del pais /   1960
Lara Zavala, Javier sustentante   Estudio sobre los yacimientos de minerales radioactivos de la Sierra de Gomez, Municipio de Aldama, estado de Chihuahua /   1960
Lares Meza, Victor Manuel sustentante   Teoria de los elementos del acto administrativo /   1960
Laris Casillas, Jorge sustentante   La integracion economica latinoamericana /   1960
Lastra Azpilicueta, Ma. Dolores sustentante   Efecto de la ametopterina sobre la actividad ribonucleasica del higado de raton /   1960
Lau Zamora, Manuel sustentante   Diseno de un paso a desnivel como solucion parcial al problema vial de la Ciudad de Mexico /   1960
Lazcano Fernandez de Lara, Humberto sustentante   Derecho presupuestal /   1960
Leal Díaz, Everardo Daniel sustentante   Sociedades locales de credito agricola /   1960
Lechuga Vergara, Enrique sustentante   Costos tipo y su instalacion en la industria de carbon corrugado /   1960
Ledezma Guerrero, Odilon sustentante   Bosquejo geologico de la zona de Neutla, Guanajuato /   1960
Lee Duron, Alfonso sustentante   Unidad administrativa federal proposiciones al plano regulador Aguascalientes, Ags. /   1960
Lee Young, Adolfo, sustentante   Obtención del agua potable por desalinización del agua de mar /   1960
Legaspi Guevara, Antonio Gabriel sustentante   Procesos en el re-enladrillado de un alto horno /   1960
Leiva Valdes, Ramon sustentante   Estudio de un sistema de costos de una fabrica de acabados textiles /   1960
Leon Botello, Rene de sustentante   Determinacion del volumen original de hidrocarburos en el horizonte concepcion inferior del Campo El Plan /   1960
Leon Martinez, Higinio M. de sustentante   Instituciones de beneficiencia asociacion civil /   1960
Lerdo de Tejada Gonzalez, Francisco sustentante   Consideracion fiscal del fideicomiso /   1960
Leuze Casaubon, Edmee Gabriela sustentante   Determinacion de la distribucion de longitud de cadena de la celulosa contenida en un parenquima de bagazo de cana de azucar de origen nacional /   1960
Liceaga Díaz Infante, Guillermo sustentante   Organizacion y competencia de los tribunales militares /   1960
Llarena del Rosario, Ramon Eusebio sustentante   El mandato irrevocable en el derecho civil mexicano /   1960
Llave Hill, Joaquin de la sustentante   El municipio en la historia y en nuestra constitucion /   1960
Lliteras Repetto, José Guillermo sustentante   El problema de la personalidad en la herencia /   1960
Lluis Riera, Jorge sustentante   Diseno de un edificio de diez pisos de concreto reforzado y su análisis comparativo mediante los procedimientos de Kani y del factor /   1960
Lomeli Escalnate, A. Arturo sustentante   Investigacion motivacional del consumo de azucar del mexicano /   1960
Loose Scholz, Herbert sustentante   Reveladores fotograficos en el proceso de Eastman color : estudio de sus propiedades segun su composicion quimica y metodo de control analitico /   1960
Lope y Calero, Angel de sustentante   Diseno y estudio economico de un equipo de recirculacion de agua en una fabrica de pinturas /   1960
López Aguilar, Metodio sustentante   Terminaciones de pozos petroleros /   1960
López Austin, Alfredo sustentante   La constitucion Real de Mexico Tenochtitlan /   1960
López Blas, Raymundo sustentante   Estructura de acero para la iglesia de San Ignacio /   1960
López Casas, Beatriz sustentante   La quimica como medio de ayuda en la determinacion de la autenticidad de pinturas /   1960
López Garza, Luis sustentante   Estudio del cruce del canal Santa Cruz-Coyote con la carretera Torreon La Union /   1960
López Guerra Cubias, Noemy sustentante   Psicologia del nino /   1960
López López, Elias Javier sustentante   Recubrimiento y pulpotomias /   1960
López Miranda, Samuel sustentante   Diseno de estructura de concreto reforzado para cine y estacionamiento combinados /   1960
López Mora, Gloria sustentante   Determinacion de protombina por thrombotest o reactivo de Owren y comparacion con el metodo de Quick /   1960
López Peimbert, Salvador sustentante   Escuela secundaria tipo dentro de consideraciones /   1960
López Portillo Sánchez, Guillermo sustentante   La regulacion automatica de combustion en una unidad termoelectrica de 82, 400 kw. /   1960
López Rangel, Ana Maria sustentante   Estudio sobre el buque y su regimen juridico-administrativo /   1960
López Romero, Adolfo sustentante   Problemas pesqueros de Mexico : el caso del camaron /   1960
López Rosado, Esteban sustentante   Analisis de la semilla de framboyan /   1960
López Ruiz Esparza, José Manuel sustentante   El estaño : estudio economico sobre su situacion actual y su explotacion en México /   1960
López Sanchez, Marta sustentante   Estudio de funcion paratiroidea en ninos desnutridos /   1960
López Trincado, Jaime sustentante   Organizacion de una fabrica de tubo flexible de cobre /   1960
López Zamarripa, Jorge sustentante   Anteproyecto para la instalacion de una planta piloto productora de fosfato de tributilo /   1960
López Zambada, Mario sustentante   Estudio de las terracerias y pavimento del camino Imuris-Cananea /   1960
Loria Perez, Filiberto sustentante   Complicaciones en la erupcion de dientes retenidos /   1960
Lorrabaquio Arellano, Raymundo sustentante   Desarrollo del Flanco Norte del Campo Los Soldados, Ver. /   1960
Loza Arredondo, Ma. Cristina sustentante   Sintesis 6-metil-pregnenos /   1960
Lozano Hernandez, Reynaldo sustentante   Unidad industrial para el Instituto Mexicano de Rehabilitacion /   1960
Lugo Magana, Fernando sustentante   Sinusitis maxilar y su tratamiento /   1960
Lugo Verduzco, Adolfo sustentante   Mexico : revolucion y educacion /   1960
Luna Amozorrutia, Fernando sustentante   Sugestiones al Parque Nacional Xinantecatl /   1960
Luna Vazco, Ma. Cristina sustentante   Derechos sobre alimentos /   1960
Luthe García, Rodolfo sustentante   Invariantes estructurales para estructuras espaciales ortogonales /   1960
Macedo Pizarro, Miguel sustentante   El riesgo en el contrato de seguro /   1960
Machado Allison, Carlos Eduardo sustentante   Microtus Mexicanus. (De Saussure, 1861) su biologia, ectoparasitos y otras formas animales ecologicamente relacionadas /   1960
Macho Illescas, Juan sustentante   Electrificacion de un fraccionamiento para obreros /   1960
Macias Aguilar, Justo sustentante   Desarrollo y datos que se obtienen de la perforacion de pozos en el Campo Ogarrio, Tabasco /   1960
Maciel Gudiño, Sergio sustentante   Caries, su evolucion y sus complicaciones /   1960
Macorra I., Pablo de la sustentante   Conversion de una caldera de licor negro en una caldera de petroleo /   1960
Madero de la Fuente, Luis sustentante   Proposiciones a los planos reguladores Saltillo y Monclova, hospital infantil en Monclova /   1960
Madrid Carbajal, Raymundo sustentante   Estudio sobre la conduccion de gas humedo del campo petrolero el Plan a la planta de absorcion en La Venta, de Petroleos Mexicanos /   1960
